아파트명,소재지도로명주소,소재지지번주소,위도,경도,층수,관리사무소전화번호,팩스번호,세대수,사업승인일,사용검사일,데이터기준일자
서수원자이,"경기도 수원시 권선구 입북로 50(입북동, 서수원 자이아파트)",경기도 수원시 권선구 입북동 810 서수원 자이아파트,126.9594616,37.29671661,13~15,031-278-2636,031-278-2638,921,2005-10-25,2009-02-26,2022-07-05
인계파밀리에,"경기도 수원시 팔달구 세지로 211(인계동, 인계 파밀리에)",경기도 수원시 팔달구 인계동 865-10 인계 파밀리에,127.0226619,37.27042652,20,031-236-1200,031-236-1210,431,2005-05-17,2009-06-04,2022-07-05
화서블루밍푸른숲,"경기도 수원시 팔달구 화양로50번길 30(화서동, 블루밍 푸른숲 아파트)",경기도 수원시 팔달구 화서동 250-4 블루밍 푸른숲 아파트,127.0000057,37.2824898,18,031-258-3494,031-258-3496,1744,2005-04-06,2009-06-23,2022-07-05
광교산임광그대가,"경기도 수원시 장안구 수일로 205(조원동, 광교산임광그대가)",경기도 수원시 장안구 조원동 912 광교산임광그대가,127.0128097,37.30775545,22,031-258-4820,031-258-4822,482,2007-10-15,2009-06-29,2022-07-05
인계극동스타클래스,"경기도 수원시 팔달구 경수대로 534(인계동, 인계극동스타클래스)",경기도 수원시 팔달구 인계동 945 인계극동스타클래스,127.0298411,37.27331365,15,031-226-7888,031-226-7884,165,2007-05-04,2009-07-31,2022-07-05
래미안 노블클래스,"경기도 수원시 팔달구 권광로 246(인계동, 래미안 노블클래스)",경기도 수원시 팔달구 인계동 384 래미안 노블클래스,127.0364361,37.26941254,26,031-217-0887,031-217-0850,1351,2005-05-09,2009-08-26,2022-07-05
권선데시앙,"경기도 수원시 권선구 세권로36번길 17(세류동, 수원 권선 데시앙)",경기도 수원시 권선구 세류동 1249 수원 권선 데시앙,127.0086407,37.25814648,13,031-238-2557,031-238-2555,222,2007-02-26,2009-09-09,2022-07-05
권선어울림,"경기도 수원시 권선구 세권로43번길 26-6(세류동, 수원권선 어울림)",경기도 수원시 권선구 세류동 1255 수원권선 어울림,127.0098064,37.2598058,15,031-224-3101,031-224-3102,160,2007-11-15,2010-01-01,2022-07-05
한화꿈에그린파크,"경기도 수원시 팔달구 효원로308번길 16(인계동, 한화 꿈에그린 파크)",경기도 수원시 팔달구 인계동 1127-1 한화 꿈에그린 파크,127.0344847,37.26023639,20,031-225-9646,031-225-3397,212,2007-09-03,2010-03-18,2022-07-05
매탄 e-편한세상,"경기도 수원시 영통구 매봉로 20(매탄동, 매탄 e-편한세상)",경기도 수원시 영통구 매탄동 1209 매탄 e-편한세상,127.0534602,37.2696703,25,031-211-4303,031-211-4304,580,2007-09-21,2010-05-28,2022-07-05
kcc스위첸,"경기도 수원시 장안구 송원로 131-28(조원동, 수원광교산스위첸)",경기도 수원시 장안구 조원동 910 수원광교산스위첸,127.0122833,37.30659967,22,031-253-0580,031-253-9580,218,2007-10-19,2010-06-04,2022-07-05
센트럴하이츠,"경기도 수원시 영통구 영통로154번길 51-16(망포동, 센트럴하이츠아파트)",경기도 수원시 영통구 망포동 718 센트럴하이츠아파트,127.0595688,37.24247709,22,031-203-0335,031-203-0336,549,2007-10-26,2010-07-09,2022-07-05
화서역 동문굿모닝힐,"경기도 수원시 팔달구 화양로67번길 10(화서동, 수원화서역 동문굿모닝힐아파트)",경기도 수원시 팔달구 화서동 761 수원화서역 동문굿모닝힐아파트,126.9947769,37.28466959,28,031-245-3180,031-245-3179,293,2007-06-05,2010-07-09,2022-07-05
그대가 프리미어,"경기도 수원시 영통구 덕영대로1484번길 21(망포동, 그대가 프리미어)",경기도 수원시 영통구 망포동 720 그대가 프리미어,127.0543688,37.24438126,16~21,031-202-4911,031-202-4918,602,2007-10-26,2010-08-03,2022-07-05
그대가 센트럴파크,"경기도 수원시 영통구 영통로174번길 12(망포동, 그대가 센트럴파크)",경기도 수원시 영통구 망포동 722 그대가 센트럴파크,127.0562119,37.24221561,23,031-273-6226,031-273-6008,270,2007-10-26,2010-08-30,2022-07-05
서희스타힐스3단지,"경기도 수원시 장안구 덕영대로407번길 83(율전동, 서희스타힐스3단지)",경기도 수원시 장안구 율전동 560 서희스타힐스3단지,126.9669882,37.30444379,15,031-268-9902,031-268-9903,180,2005-01-15,2010-12-24,2022-07-05
광교한양수자인,"경기도 수원시 영통구 웰빙타운로 19(이의동, 광교한양수자인)",경기도 수원시 영통구 이의동 1211 광교한양수자인,127.0488819,37.30471147,15,031-212-1422,031-212-1423,214,2009-05-06,2011-07-29,2022-07-05
권선자이e편한세상,"경기도 수원시 권선구 권광로 55(권선동, 권선자이 이편한세상)",경기도 수원시 권선구 권선동 1330 권선자이 이편한세상,127.0263847,37.25293027,14~15,031-898-6527,031-898-6529,1753,2005-03-21,2011-09-21,2022-07-05
광교호수마을 참누리레이크,"경기도 수원시 영통구 법조로 134(하동, 광교호수마을참누리레이크)",경기도 수원시 영통구 하동 994 광교호수마을참누리레이크,127.0729087,37.29098998,30~36,031-216-7338,031-216-7330,1188,2008-07-16,2011-09-29,2022-07-05
광교해모로,"경기도 수원시 영통구 광교로 286(이의동, 광교 해모로 아파트)",경기도 수원시 영통구 이의동 1226 광교 해모로 아파트,127.052921,37.30687806,12~15,031-216-8754,031-216-8755,466,2007-12-27,2011-10-07,2022-07-05
아이파크시티3단지,"경기도 수원시 권선구 동수원로145번길 73(권선동, 수원아이파크시티3단지) ",경기도 수원시 권선구 권선동 1359 수원아이파크시티3단지,127.0259491,37.24263263,13~14,031-898-9870,031-898-9872,793,2009-03-25,2011-10-29,2022-07-05
아이파크시티1단지,"경기도 수원시 권선구 동수원로145번길 74(권선동, 수원아이파크시티1단지)",경기도 수원시 권선구 권선동 1360 수원아이파크시티 1단지,127.0267946,37.24563802,12~14,031-898-9866,031-898-9867,543,2009-03-25,2011-10-29,2022-07-05
광교2차 e편한세상,"경기도 수원시 영통구 웰빙타운로 50(이의동, 광교2차 e편한세상)",경기도 수원시 영통구 이의동 1200 광교2차 e편한세상,127.0464186,37.30663107,13~15,031-212-7806,031-212-7807,442,2009-12-10,2011-12-02,2022-07-05
호반가든하임,"경기도 수원시 영통구 웰빙타운로 20(이의동, 호반가든하임)",경기도 수원시 영통구 이의동 1212 호반가든하임,127.0496288,37.30626951,4~5,031-213-7474,031-213-7466,320,2009-11-09,2011-12-15,2022-07-05
광교호반베르디움,"경기도 수원시 영통구 웰빙타운로 70(이의동, 광교 호반베르디움)",경기도 수원시 영통구 이의동 1184 광교 호반베르디움,127.0437241,37.30706942,13~15,031-216-8757,031-216-8758,555,2009-09-18,2011-12-15,2022-07-05
아이파크시티2단지,"경기도 수원시 권선구 동수원로145번길 24(권선동, 수원아이파크시티2단지)",경기도 수원시 권선구 권선동 1361 수원아이파크시티2단지,127.029383,37.24510822,10~14,031-226-1855,031-226-1854,1135,2009-11-26,2012-01-19,2022-07-05
아이파크시티4단지,"경기도 수원시 권선구 동수원로145번길 23(권선동, 수원아이파크시티4단지)",경기도 수원시 권선구 권선동 1357 수원아이파크시티4단지,127.0280454,37.24206724,13~14,031-225-9232,031-225-9230,889,2009-11-26,2012-01-19,2022-07-05
래미안광교,"경기도 수원시 영통구 센트럴파크로 60(이의동, 래미안 광교)",경기도 수원시 영통구 이의동 1304 래미안 광교,127.061311,37.29123663,31~34,031-211-5165,031-211-5168,629,2009-08-27,2012-02-17,2022-07-05
오드카운티,"경기도 수원시 영통구 센트럴파크로 100(이의동, 광교 센트럴타운 오드카운티)",경기도 수원시 영통구 이의동 1303 광교 센트럴타운 오드카운티,127.0589425,37.29246222,22~32,031-216-8481,031-216-8483,668,2009-03-13,2012-02-17,2022-07-05
장안힐스테이트,"경기도 수원시 장안구 장안로359번길 20(이목동, 수원장안힐스테이트)",경기도 수원시 장안구 이목동 916 수원장안힐스테이트,126.9842892,37.31243815,12~19,031-269-3395,031-269-3390,927,2009-10-20,2012-02-28,2022-07-05
광교레이크파크 한양수자인,"경기도 수원시 영통구 광교호수로152번길 23(하동, 광교 LAKE PARK 한양수자인)",경기도 수원시 영통구 하동 1027 광교 LAKE PARK 한양수자인,127.0713332,37.2806474,26~34,031-211-1937,031-211-1938,453,2009-11-04,2012-07-13,2022-07-05
R타워,"경기도 수원시 팔달구 중부대로239번길 5 (우만동, 우만동R타워)",경기도 수원시 팔달구 우만동 85-3 우만동R타워,127.042073,37.27575159,3_14,031-216-5313,031-216-5314,159,2011-05-17,2012-10-25,2022-07-05
자연앤힐스테이트,"경기도 수원시 영통구 도청로 65(이의동, 자연앤 힐스테이트)",경기도 수원시 영통구 이의동 1344 자연앤 힐스테이트,127.0506872,37.28766845,18~35,031-213-1755,031-213-1756,1764,2009-11-26,2012-11-29,2022-07-05
자연앤자이3단지,"경기도 수원시 영통구 도청로17번길 23(이의동, 자연앤자이)",경기도 수원시 영통구 이의동 1339 자연앤자이,127.0543873,37.28491449,33~34,031-213-2775,031-213-2776,378,2009-12-21,2012-12-05,2022-07-05
자연앤자이2단지,"경기도 수원시 영통구 에듀타운로 65(이의동, 자연앤자이)",경기도 수원시 영통구 이의동 1353 자연앤자이,127.0483247,37.28737475,14~32,031-213-3505,031-213-3506,522,2009-12-21,2012-12-05,2022-07-05
자연앤자이1단지,"경기도 수원시 영통구 에듀타운로 35(이의동, 자연앤자이)",경기도 수원시 영통구 이의동 1367 자연앤자이,127.0505739,37.28515832,17~34,031-213-5525,031-213-5526,273,2009-12-21,2012-12-05,2022-07-05
e편한세상광교,"경기도 수원시 영통구 센트럴타운로 76(이의동, e편한세상 광교)",경기도 수원시 영통구 이의동 1326 e편한세상 광교,127.0546525,37.29179315,10~39,031-216-6456,031-216-6459,1970,2010-03-23,2012-12-06,2022-07-05
인계푸르지오,"경기도 수원시 팔달구 중부대로170번길 17(인계동, 수원인계푸르지오)",경기도 수원시 팔달구 인계동 1169 수원인계푸르지오,127.0353969,37.27690671,34,031-216-1297,031-216-1294,190,2010-01-18,2012-12-11,2022-07-05
에일린의 뜰,"경기도 수원시 영통구 광교호수공원로155(원천동, 수원광교에일린의뜰)",경기도 수원시 영통구 원천동 590 수원광교에일린의뜰,127.0592837,37.27769346,2~4,031-214-7972,031-214-7973,240,2010-12-07,2012-12-17,2022-07-05
현대엠코아파트,"경기도 수원시 권선구 구운로47번길 59(구운동, 서수원엠코타운 르본느)",경기도 수원시 권선구 구운동 522-7,126.9727809,37.27657293,13~15,031-298-7224,031-298-7225,204,2005-12-06,2013-02-08,2022-07-05
STX KAN 1단지,"경기도 수원시 장안구 장안로 395(이목동, 수원 장안 STX KAN 1단지아파트)",경기도 수원시 장안구 이목동 918 수원 장안 STX KAN 1단지아파트,126.9827924,37.31454668,2_15~26,031-269-6669,031-271-6669,734,2010-05-06,2013-02-28,2022-07-05
STX KAN 2단지,"경기도 수원시 장안구 장안로385번길 95(이목동, 수원 장안 STX KAN 2단지아파트)",경기도 수원시 장안구 이목동 917 수원 장안 STX KAN 2단지아파트,126.9813735,37.31412343,,,,,,,2022-07-05
신일유토빌,"경기도 수원시 권선구 동수원로146번길 281-25(곡반정동, 권선신일유토빌)",경기도 수원시 권선구 곡반정동 548 권선신일유토빌,127.0298898,37.24014487,11~15,031-237-0220,031-237-7220,243,2006-06-22,2013-04-01,2022-07-05
SK SKY VIEW,"경기도 수원시 장안구 이목로 24(정자동, 수원 SK SKY VIEW)",경기도 수원시 장안구 정자동 945 수원 SK SKY VIEW,126.9849647,37.30712061,31~40,031-269-8711,031-269-8714,3498,2010-05-12,2013-05-17,2022-07-05
내안애애플,"경기도 수원시 팔달구 권광로367번길 11 (우만동, 양우 내안애 애플 아파트)",경기도 수원시 팔달구 우만동 607 양우 내안애 애플 아파트,127.0368728,37.27923868,2_13,031-215-2210,031-215-2230,284,2012-02-14,2013-09-04,2022-07-05
래미안 영통마크원 1단지,"경기도 수원시 영통구 권선로908번길 72(신동, 래미안영통마크원1단지)",경기도 수원시 영통구 신동 939 래미안 영통마크원 1단지,127.0430329,37.24597752,2_18~23,031-202-8679,031-202-8672,367,2011-03-14,2013-11-07,2022-07-05
래미안 영통마크원 2단지,"경기도 수원시 영통구 삼성로 11(신동, 래미안 영통마크원 2단지)",경기도 수원시 영통구 신동 940 래미안 영통마크원 2단지,127.0460693,37.24658783,2_18~27,031-202-8748,031-202-8758,963,2011-03-14,2013-11-07,2022-07-05
한양수자인 에듀파크,"경기도 수원시 영통구 영통로154번길 56(망포동, 한양수자인 에듀파크)",경기도 수원시 영통구 망포동 723 한양수자인 에듀파크,127.0571993,37.24069322,21,031-204-8330,031-204-8320,530,2007-10-09,2013-12-03,2022-07-05
서수원 레이크 푸르지오 1단지,"경기도 수원시 권선구 입북로77번길 62 (입북동, 서수원 레이크 푸르지오 1단지)",경기도 수원시 권선구 입북동 814 서수원 레이크 푸르지오 1단지,126.9529631,37.30010287,29,031-278-4741,031-278-4742,569,2008-07-17,2014-02-04,2022-07-05
서수원 레이크 푸르지오 2단지,"경기도 수원시 권선구 입북로77번길 61 (입북동, 서수원 레이크 푸르지오 2단지)",경기도 수원시 권선구 입북동 815 서수원 레이크 푸르지오 2단지,126.9527786,37.29856001,30,031-278-4711,031-278-4713,797,2008-07-17,2014-02-04,2022-07-05
광교호반베르디움,"경기도 수원시 영통구 광교호수공원로 45(원천동, 광교 호반베르디움)",경기도 수원시 영통구 원천동 606 광교 호반베르디움,127.0567696,37.27294748,26~31,031-214-6112,031-214-6113,1330,2011-08-05,2014-06-02,2022-07-05
가온마을3단지,"경기도 수원시 권선구 서수원로577번길 263(금곡동, 가온마을 3단지)",경기도 수원시 권선구 금곡동 1076,37.274814,126.942461,14~19,031-278-4946,031-278-4947,450,2008-11-28,2014-06-10,2022-07-05
Y CITY 칠보마을6단지,"경기도 수원시 권선구 금곡로 20(금곡동, Y CITY(와이시티) 칠보마을6단지) ",경기도 수원시 권선구 금곡동 1100,37.269684,126.939703,1_13~25,031-293-3210,031-293-3311,660,2007-12-31,2014-08-11,2022-07-05
능실마을19단지,"경기도 수원시 권선구 호매실로166번길 63(호매실동, 호매실스위첸 능실마을19단지)",경기도 수원시 권선구 호매실동 1394,37.26089053,126.9619121,17~25,031-293-2332,031-293-2992,1050,2006-12-20,2014-08-11,2022-07-05
화서한신휴플러스,"경기도 수원시 팔달구 수성로258번길 52(화서동, 화서 한신휴플러스)",경기도 수원시 팔달구 화서동 769,37.28701177,127.0021694,15~19,031-246-8517,031-246-8516,198,2010-11-25,2014-10-16,2022-07-05
써밋플레이스 광교,"경기도 수원시 영통구 센트럴타운로 85 (이의동, 광교C1 호반베르디움, Summit Place광교)",경기도 수원시 영통구 이의동 1332,37.29156767,127.0504709,11~29,031-212-2297,031-212-2273,508,2011-11-01,2015-02-26,2022-07-05
씨즈더원,경기도 수원시 권선구 효원로220번길 17(권선동),경기도 수원시 권선구 권선동 1011-9,37.26218918,127.0258005,2_14,031-302-8008,031-302-6225,228,2015-03-13,2015-03-19,2022-07-05
센트럴타운1단지,"경기도 수원시 권선구 세류로 60(세류동, LH수원센트럴타운1단지) ",경기도 수원시 권선구 세류동 1260,37.26534933,127.0103984,13~15,031-267-4471,031-267-4472,863,2007-11-06,2015-07-29,2022-07-05
센트럴타운2단지,"경기도 수원시 권선구 세류로 39(세류동, LH수원센트럴타운2단지) ",경기도 수원시 권선구 세류동 1270,37.26344555,127.0061293,14~15,031-224-0027,031-237-0027,800,2007-11-06,2015-07-29,2022-07-05
센트럴타운3단지,"경기도 수원시 권선구 세권로 1(세류동, LH수원센트럴타운3단지)",경기도 수원시 권선구 세류동 1280,37.26140457,127.0046716,11~15,031-235-1877,031-235-1977,1019,2007-11-06,2015-07-29,2022-07-05
광교역참누리포레스트,"경기도 수원시 영통구 대학3로 5 (이의동, 광교역참누리포레스트)",경기도 수원시 영통구 이의동 1252,37.301892,127.039613,7,031-216-7510,031-216-7511,356,2011-09-02,2015-07-30,2022-07-05
광교푸르지오월드마크,"경기도 수원시 영통구 센트럴타운로 107(이의동, 광교푸르지오 월드마크, 월드스퀘어) ",경기도 수원시 영통구 이의동 1331,37.29261276,127.0481421,48,031-217-1733,031-217-1734,350,2011-10-12,2015-08-06,2022-07-05
아이파크시티5단지,"경기도 수원시 권선구 곡선로 10(권선동, 수원아아파크시티5단지)",경기도 수원시 권선구 권선동 1355,37.23915835,127.0256638,13~15,031-898-9169,031-898-9171,704,2010-12-07,2015-08-25,2022-07-05
아이파크시티6단지,"경기도 수원시 권선구 곡선로 20(권선동, 수원아이파크시티6단지)",경기도 수원시 권선구 권선동 1336,37.23920692,127.0272375,12~15,031-898-9236,031-898-9238,448,2010-12-07,2015-08-25,2022-07-05
영통 SK VIEW,"경기도 수원시 영통구 영통로200번길 112(망포동, 영통 SK VIEW)",경기도 수원시 영통구 망포동 725,37.24184487,127.0615076,16~25,031-202-9841,031-202-9853,710,2007-10-28,2016-06-10,2022-07-05
아이파크시티7단지,"경기도 수원시 권선구 덕영대로1190번길 100(권선동, 수원아이파크시티7단지)",경기도 수원시 권선구 권선동 1337,37.24469781,127.0194358,14~15,031-267-2930,031-267-2934,1596,2014-07-10,2016-08-22,2022-07-05
e편한세상 영통2차 1단지,"경기도 수원시 영통구 봉영로 1410-17(망포동, e편한세상 영통2차 1단지)",경기도 수원시 영통구 망포동 726,37.23959686,127.0640257,17~24,031-205-8005,031-205-8006,392,2007-11-02,2016-12-12,2022-07-05
e편한세상 영통2차 2단지,"경기도 수원시 영통구 봉영로 1432-36(망포동, e편한세상 영통2차 2단지)",경기도 수원시 영통구 망포동 727,37.24077517,127.0659873,21~24,031-203-8001,031-203-8002,270,2007-11-02,2016-12-12,2022-07-05
오목천서희스타힐스,"경기도 수원시 권선구 온정로9번길 36(오목천동, 서희스타힐스아파트)",경기도 수원시 권선구 오목천동 1170,37.24859182,126.9619028,19~24,031-293-3280,031-295-3480,844,2013-01-15,2016-12-28,2022-07-05
호매실능실마을20단지,"경기도 수원시 권선구 호매실로166번길 70(호매실동, 호매실20단지(능실마을))",경기도 수원시 권선구 호매실동 1414,37.25790977,126.9607499,17~24,031-278-6311,031-278-6312,430,2012-12-28,2016-12-30,2022-07-05
광교파크자이더테라스,"경기도 수원시 영통구 웰빙타운로 130(이의동, 광교파크자이더테라스)",경기도 수원시 영통구 이의동 1177,37.310284,127.0367924,4,031-216-8501,031-216-8502,268,2015-06-11,2017-02-24,2022-07-05
e편한세상 TERRACE 광교 West hill,"경기도 수원시 영통구 웰빙타운로56번길 76(이의동, e편한세상 TERRACE 광교 West hill)",경기도 수원시 영통구 이의동 1197,37.30820341,127.0467671,4,031-214-3309,031-214-3359,317,2015-04-17,2017-04-03,2022-07-05
e편한세상 TERRACE 광교 East hill,"경기도 수원시 영통구 웰빙타운로36번길 46-23(이의동, e편한세상 TERRACE 광교 East hill)",경기도 수원시 영통구 이의동 1214,37.30722037,127.0496658,4,031-214-4402,031-214-4403,259,2015-04-17,2017-04-03,2022-07-05
호반베르디움 더퍼스트,"경기도 수원시 권선구 매곡로 67(금곡동, 호반베르디움 The First) ",경기도 수원시 권선구 금곡동 1146,37.27078788,126.9532096,25,031-295-1745,031-295-1746,567,2014-07-29,2017-04-03,2022-07-05
호반베르디움 더센트럴,"경기도 수원시 권선구 매곡로 43(금곡동, 호반베르디움 더 센트럴) ",경기도 수원시 권선구 금곡동 1147,37.26972407,126.9517634,17~25,031-297-7684,031-297-7685,1100,2014-07-29,2017-04-03,2022-07-05
수원아너스빌위즈,"경기도 수원시 장안구 송원로 20(송죽동, 수원 아너스빌 위즈)",경기도 수원시 장안구 송죽동 517,37.29709458,127.006568,45,031-242-3203,031-248-4801,798,2009-04-06,2017-04-18,2022-07-05
광교호반베르디움트라엘,"경기도 수원시 영통구 대학로 98(이의동, 광교 호반베르디움 트라엘) ",경기도 수원시 영통구 이의동 1229,37.3032878,127.0492229,9~15,031-217-3008,031-217-3009,446,2015-03-03,2017-05-10,2022-07-05
아이파크시티8단지,"경기도 수원시 권선구 동수원로177번길 40(권선동, 수원아이파크시티8단지)",경기도 수원시 권선구 권선동 1364,37.24668417,127.0301424,15,031-898-9719,031-898-9721,282,2015-02-27,2017-06-29,2022-07-05
아이파크시티9단지,"경기도 수원시 권선구 동수원로177번길 90(권선동, 수원아이파크시티9단지)",경기도 수원시 권선구 권선동 1362,37.24736727,127.0271043,15,031-898-9319,031-898-9321,268,2015-02-27,2017-06-29,2022-07-05
영통라온프라이빗,"경기도 수원시 영통구 영통로200번길 111(영통동, 영통라온프라이빗)",경기도 수원시 영통구 영통동 1154,37.24465399,127.0641733,24~28,031-203-1135,031-203-1136,351,2014-12-12,2017-07-31,2022-07-05
힐스테이트영통,"경기도 수원시 영통구 덕영대로 1462-14(망포동, 힐스테이트 영통 아파트)",경기도 수원시 영통구 망포동 728,37.2416363,127.0471035,23~29,031-202-2989,031-202-2913,2140,2014-05-12,2017-08-30,2022-07-05
모아미래도 1&2단지,"경기도 수원시 권선구 서수원로577번길 341(금곡동, 수원모아미래도센트럴타운1단지) ",경기도 수원시 권선구 금곡동 1078,37.27629658,126.9370964,24~25,031-291-3863,031-292-3863,1452,2015-04-23,2017-09-08,2022-07-05
극동스타클래스,"경기도 수원시 권선구 금곡로140번길 73(호매실동, 극동스타클래스)",경기도 수원시 권선구 호매실동 1352,37.27063433,126.9457823,22,031-278-0213,031-278-0215,999,2007-12-31,2017-11-21,2022-07-05
성균관대역 동문굿모닝힐,"경기도 수원시 장안구 율전로101번길 73(율전동, 수원성균관대역동문굿모닝힐)",경기도 수원시 장안구 율전동 600,37.29721768,126.9654807,24,031-278-7133,031-278-7135,699,2007-09-21,2017-12-07,2022-07-05
호매실 능실마을21단지,"경기도 수원시 권선구 호매실로 103(호매실동, 능실마을21단지) ",경기도 수원시 권선구 호매실동 1361,37.25495746,126.9614482,21,031-291-0338,031-291-0302,1100,2014-12-18,2018-04-05,2022-07-05
힐스테이트광교,"경기도 수원시 영통구 센트럴파크로 6(하동, 힐스테이트 광교)",경기도 수원시 영통구 하동 1021,37.28667107,127.0648956,49,031-216-9306,031-216-9399,928,2014-10-15,2018-05-29,2022-07-05
한양수자인파크원,"경기도 수원시 권선구 칠보로 102(호매실동, 한양수자인파크원)",경기도 수원시 권선구 호매실동 1361,37.26579489,126.9504304,25,031-291-3912,031-291-3913,1394,2015-11-03,2018-05-31,2022-07-05
광교더샵,"경기도 수원시 영통구 광교호수로 15(원천동, 광교더샵)",경기도 수원시 영통구 원천동 604,37.27069616,127.061017,,031-214-5982,031-217-1664,686,2015-05-11,2018-08-01,2022-07-05
광교아이파크,"경기도 수원시 영통구 광교호수공원로 80(원천동, 광교아이파크)",경기도 수원시 영통구 원천동 593,37.27308767,127.0612627,,031-216-9431,031-216-9433,958,2015-04-28,2018-09-28,2022-07-05
아이파크캐슬1단지,"경기도 수원시 영통구 덕영대로 1410(망포동, 영통아이파크캐슬 1단지)",경기도 수원시 영통구 망포동 766,37.24178159,127.0436985,27,031-202-4700,031-202-4701,1783,2016-09-22,2019-03-12,2022-07-05
아이파크캐슬2단지,"경기도 수원시 영통구 덕영대로 1400(망포동, 영통아이파크캐슬2단지)",경기도 수원시 영통구 망포동 760,37.24183079,127.0414551,24,031-203-7751,031-203-7752,1162,2016-09-22,2019-01-21,2022-07-05
중흥S클래스,"경기도 수원시 영통구 광교호수공원로 277(원천동, 광교중흥에스클래스)",경기도 수원시 영통구 원천동 589,37.28394176,127.056778,,031-211-1137,031-211-1149,2231,2015-05-18,2019-05-30,2022-07-05
호매실금호어울림에듀포레,"경기도 수원시 권선구 호매실로165번길 71(호매실동, 호매실 금호어울림 에듀포레) ",경기도 수원시 권선구 호매실동 1420,37.25865979,126.9521397,18~25,031-291-0970,031-291-0977,532,2015-12-28,2019-08-14,2022-07-05
청명센트레빌,"경기도 수원시 영통구 영통로525번길 35(영통동, 청명센트레빌) ",경기도 수원시 영통구 영통동 1166,37.26543669,127.0752636,19~20,031-202-8112,031-202-8113,233,2007-11-07,2013-06-04,2022-07-05
우만주공3단지,"경기도 수원시 팔달구 창룡대로210번길 13(우만동, 주공3단지아파트)",경기도 수원시 팔달구 우만동 301,37.29260018,127.034043,15,031-241-2872,031-252-9384,1213,1989-06-28,1992-03-11,2022-07-05
백설주공2단지,"경기도 수원시 장안구 대평로89번길 10(정자동, 백설마을 주공아파트)",경기도 수원시 장안구 정자동 871-3,37.29621805,126.9919837,18~24,031-305-9081,031-305-9082,341,1998-05-19,2001-08-06,2022-07-05
매탄주공그린빌6단지,"경기도 수원시 영통구 동탄원천로881번길 19(매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1285,37.25372527,127.0422934,13~20,031-217-9081,031-217-9082,710,1998-12-26,2001-12-11,2022-07-05
밤꽃마을주공,"경기도 수원시 장안구 상률로12번길 28(율전동, 밤꽃마을주공아파트)",경기도 수원시 장안구 율전동 545,37.30692204,126.9668134,22,031-256-6595,031-256-6596,389,1999-12-30,2005-09-08,2022-07-05
상송마을주공,"경기도 수원시 권선구 오목천로 15(오목천동, 상송주공아파트)",경기도 수원시 권선구 오목천동 946,37.24042908,126.9639348,10~15,031-227-6689,031-227-6690,1185,2001-12-31,2005-10-31,2022-07-05
호매실휴먼시아4단지,"경기도 수원시 권선구 금곡로 137(금곡동, 수원호매실휴먼시아4단지아파트)",경기도 수원시 권선구 금곡동 1072,37.27530097,126.9463092,10~20,031-294-5101,031-294-5102,980,2006-12-20,2011-07-19,2022-07-05
호매실휴먼시아7단지,"경기도 수원시 권선구 금곡로102번길 126(호매실동, 수원호매실휴먼시아7단지아파트)",경기도 수원시 권선구 호매실동 1340,37.2696826,126.9426206,11~20,031-294-0882,031-293-0884,980,2006-12-28,2011-08-19,2022-07-05
호매실휴먼시아8단지,"경기도 수원시 권선구 금곡로140번길 29(금곡동, 수원호매실휴먼시아8단지아파트)",경기도 수원시 권선구 금곡동 1095,37.27202406,126.9457173,12~20,031-278-7516,031-278-7518,1270,2006-12-20,2011-08-19,2022-07-05
광교휴먼시아20단지,"경기도 수원시 영통구 광교호수로 84(하동, 휴먼시아아파트)",경기도 수원시 영통구 하동 1034,37.27601134,127.0676006,7~23,031-211-4984,031-211-8993,375,2009-06-30,2011-10-24,2022-07-05
호매실휴먼시아5단지,"경기도 수원시 권선구 금곡로 46(금곡동, 수원호매실휴먼시아5단지아파트) ",경기도 수원시 권선구 금곡동 1081,37.27139348,126.9391637,9~20,031-296-0967,031-296-0981,1318,2007-12-31,2011-11-01,2022-07-05
광교휴먼시아32단지,"경기도 수원시 영통구 광교중앙로 247(하동, 휴먼시아아파트) ",경기도 수원시 영통구 하동 956,37.29461445,127.0655342,20~25,031-217-8325,031-217-8327,2289,2007-11-26,2011-11-07,2022-07-05
호매실휴먼시아16단지,"경기도 수원시 권선구 호매실로165번길 30(호매실동, 수원호매실휴먼시아16단지아파트) ",경기도 수원시 권선구 호매실동 1389,37.25952806,126.9549755,10~20,031-295-5950,031-295-5952,880,2006-12-20,2011-11-12,2022-07-05
호매실휴먼시아15단지,"경기도 수원시 권선구 호매실로165번길 70(호매실동, 수원호매실휴먼시아15단지아파트)",경기도 수원시 권선구 호매실동 1338,37.26014366,126.9520027,10~20,031-227-0055,031-227-0515,1029,2007-12-31,2011-11-18,2022-07-05
광교상록,"경기도 수원시 영통구 법조로150번길 19(하동, 호수마을광교상록아파트)",경기도 수원시 영통구 하동 992,37.29343441,127.0729953,18~26,031-215-2970,031-215-2971,533,,2012-06-08,2022-07-05
광교센트럴타운60단지,"경기도 수원시 영통구 센트럴타운로22번길 36(이의동, 광교센트럴타운60단지)",경기도 수원시 영통구 하동 1334,37.28916508,127.0578864,10~26,031-217-6055,031-217-6054,701,2007-12-27,2013-11-04,2022-07-05
